Datetime,Open,High,Low,Close,intvwap,Volume,v
11-05-2023 11:15,1655,1655.7,1652.25,1652.6,1654.22,534314,6873948
11-05-2023 11:30,1652.8,1653.85,1650.75,1652.35,1652.07,504299,7378247
11-05-2023 11:45,1652,1652.5,1649.3,1650.6,1650.85,416650,7794897
11-05-2023 12:00,1651.15,1653.95,1650.05,1650.4,1651.53,606276,8401173
11-05-2023 12:15,1650.35,1654.5,1650.35,1654.3,1652.34,640069,9041242
11-05-2023 12:30,1654.25,1655.1,1652.1,1652.9,1653.34,605502,9646744
11-05-2023 12:45,1653,1656.55,1651.35,1656.15,1653.98,520790,10167534
11-05-2023 13:00,1656.25,1659,1655.1,1656.55,1656.92,588285,10755819
11-05-2023 13:15,1656.5,1660,1656.5,1659.05,1658.81,742995,11498814
11-05-2023 13:30,1659,1659.9,1655.2,1655.5,1658.13,543042,12041856
11-05-2023 13:45,1655.45,1657.85,1654.5,1655.85,1656.02,426424,12468280
11-05-2023 14:00,1655.75,1657.95,1653.75,1655.7,1656.24,567237,13035517
11-05-2023 14:15,1655.75,1659.75,1655,1657.3,1657.37,606730,13642247
11-05-2023 14:30,1657.4,1659.25,1654.4,1659.05,1657.27,1255582,14897829
11-05-2023 14:45,1659,1661.7,1652.5,1654.95,1657.61,1366572,16264401
11-05-2023 15:00,1654.6,1655,1651.5,1652.5,1652.93,1026021,17290422
11-05-2023 15:15,1652.45,1655.65,1651.55,1655,1653.62,576045,17866467
12-05-2023 09:15,1649.25,1654.45,1644.25,1653.3,1650.4,659252,659252
12-05-2023 09:30,1652.7,1653.5,1650,1651.1,1651.68,677471,1336723
12-05-2023 09:45,1652.2,1656.55,1650.35,1654.85,1653.71,469638,1806361
12-05-2023 10:00,1655.5,1656.85,1653.6,1655.95,1655.26,258054,2064415
12-05-2023 10:15,1655.65,1657.95,1655.1,1656.45,1656.34,109771,2174186
12-05-2023 10:30,1656.5,1659.5,1656.5,1658.05,1658.24,151177,2325363
12-05-2023 10:45,1658.45,1662.45,1657.3,1661.7,1660.48,458333,2783696
12-05-2023 11:00,1661.8,1663.7,1659.55,1660.7,1661.42,255295,3038991
12-05-2023 11:15,1660.15,1661.1,1657.4,1658.45,1659.21,268719,3307710
12-05-2023 11:30,1658.9,1660.5,1657.35,1658.75,1658.96,375150,3682860
12-05-2023 11:45,1658.95,1662.3,1658.7,1660.95,1660.54,103669,3786529
12-05-2023 12:00,1661,1662,1659.2,1660.25,1660.76,143987,3930516
12-05-2023 12:15,1660.35,1661.5,1659.2,1660.85,1660.5,164134,4094650
12-05-2023 12:30,1660.8,1662.4,1658.4,1662.2,1660.73,404722,4499372
12-05-2023 12:45,1662.4,1663.9,1661.5,1663.9,1662.61,383999,4883371
